Column1,Column2
idx,conversation
t_251,석준아 오늘 우리반에 새로 전학온 친구가 있다 누구예요 오늘 예산에서 새로온 친구야 친하게 잘 지내 네 알겠습니다 자리는 어디로 할까요 선생님 너가 반장이니까 너 옆으로 하자 네 제가 잘 챙길게요 친구 이름은 뭐예요 하동훈이야 연예인 이름이네요 오늘 오는 건가요 응 오늘 내 수업시간에 같이 올거야 네 알겠습니다
t_256,몸이 낫지 않아. 나쁜 놈들. 편찮으신 것 같은데 무슨 일이 신가요? 병원에 다녀도 낫질 않아. 차도가 없어 화가 나시는군요. 돈과 시간이 아까워. 치료하느라 큰 비용과 시간을 쓰고 계시는데 기대만큼 효과가 없군요.
t_263,저기요 왜 샤인머스켓 빙수에 샤인머스켓이 없는거죠?  네? 죄송합니다 고객님. 샤인머스켓 빙수는 원래 샤인머스캣이 들어가지 않습니다. 머라고요? 장난해요 지금? 죄송합니다. 저희가 착오가 있었나 봅니다. 그렇죠 확인해봐요. 사진상에 있는 샤인머스켓은 진짜가 아니라 그림입니다. 미리 공지하지 못한 점 죄송합니다. 머 지금 장난해요? 죄송합니다. 장사 이딴식으로 하지말고 빨리 환불이나 해줘요. 동네 장사 이딴식으로 하는거 아니지. 네 죄송합니다. 환불해드리겠습니다.
t_264,부장님은 왜 내 실수에 업무적인 부분이 아니라 인신공격을 해서 기분 나쁘게 하시는 거지? 부장님이 인신공격을 하셔서 기분이 나쁘신가 봐요. 일로 실수를 했으면 그 부분을 지적해야지 왜 인신공격을 하는 거야. 화나게. 인신공격 때문에 화가 나셨군요. 어떻게 해야 화가 덜 날 수 있을까요? 일단은 실수를 줄여서 혼날 일을 줄이고 부장님과도 한번 얘기해봐야겠어. 부장님과 얘기해보시고 실수도 줄여서 기분이 나아지셨으면 좋겠어요.
t_267,"우리나라에서 태어났기 때문에 그게 개인의 잘못이야 결국 최소 구성은 개인이고 그게 모여 사회가 된거기 때문에 사회의 잘못은 개인의 잘못이고 개인의 잘못 또한 사회의 잘못이 되겠지 그게 굉장히 위험한 발언인거 알아 그 개인은 나도 누구도 단 한명을 지칭하는것이 아닌 전체 지구단위 전체 크게보면 그렇지 않을까 개인이 사회의 공동체인 건 맞지만 개인은 개인들의 독자적인 존재야 개인사회라고 하는건 너무 비약적이라고 생각하는데 어그건 비약적인거 맞는거 같다 근데 내가 그렇지 않았다면 음
"
t_268,짐은 다 뺐니 택배로 부쳤어요 잘했다 저기 삼촌 응 쟤는 말을 전혀 못하던데 구식이라 그런가 아냐 아까까지만 해도 나랑 잘만 대화했는데 뭐 뭐지 고장난거였나 무슨 일 있었나보네 아까 말 걸었는데 대답이 없었어요
t_271,뭐 재밌는 일 있었나보네 아니 어제 우리집 로봇이 충전이 제대로 안됐나봐 로봇이 왜 어쨌길래 애가 갑자기 덜컥 멈추더라고 그래서 손에 있던 접시가 와장창 니가 충전 제대로 안 시킨거잖아 로봇이 무슨 죄 아니 충전이 안됐으면 말을 해야지 아 됐고 이거나 봐봐 야 이거 뭐야 우리 집 로봇도 시켜봐야겠다 너네집 로봇은 멍청해서 안될 듯 죽고싶냐
t_274,왜 그렇게 시무룩해 아 지갑을 잃어버렸다 찾았는데 현금 안 가져 왔어 헐 얼마 있었는데 15만 원 그렇게나 많이 빼고 가는 중이었는데 어쩌다 잊어버린 거야 짐이 많아가지고 지갑 들고 다녔는데 지하철 기다리면서 의자에 앉아 있었거든의 자전거 타고 같아 그거 누가 가져간 거구먼 발견된 장소 더 이상 안 되더라 오르는데 지하철 빵집 앞 바닥에 헐 그냥 아무 데나 버리고 갔네 그러니까 야 그냥 털어버려 부류 똑같다고 생각하자 그래
t_284,오늘 몇시에 들어와 오늘도 야근이야 오늘도 늦겠네 일이 왜 이렇게 많아 그러게 저녁은 먹었어 응 지금 먹고 올라가는 길이야 애들이랑 챙겨먹어 내 걱정하지말고 잘하고 일찍 들어와 알았어 이번주 주말에 시골가는거지 응 어머니 생신이라서 가야지 알았어
t_296,나 머리 잘랐다 와 대박 칼단발 했네 어 그새끼랑 헤어지니까 자르고 싶더라고 야 긴머리보다 훨씬 낫다 진작 이러고 다니지 그치 원래 단발하고 싶었는데 그새끼가 긴머리가 좋다고 못자르게 했다니까 개자식이네 잘 헤어졌다 진짜 단발 너무 편해 너 보니까 나도 하고싶다 낼 미용실 갈까 당장해 개좋음 오키 낼 후기 보내줌
t_297,화장도 안하고 왔냐 어 어디 아파 보인다 야 니 만나는데 귀찮게 왜하냐 이년은 졸라 꾸미고 왔네 간만에 외출했거등 아무도 너한테 관심 안가져 뭐래 술집 가면 난리나거든 됐고 빨리 밥이나 먹으러 가자 배고파서 사망할듯 어디 가실 걍 그때 갔던데 가자
t_300,내 성과를 모두 가로챘던 직장 동료가 넘어져서 많이 다쳤대. 너무 통쾌해. 회사 동료가 성과를 가로채서 많이 속상하셨군요. 솔직히 벌 받은 거라고 생각해. 나는 그것보다 훨씬 많이 힘들었거든. 어떻게 하면 기분이 좀 더 나아질 수 있을까요? 그때의 기억은 잊으려고 노력하고 앞으로 당분간은 내 일을 더 열심히 해야겠어. 앞으로 열심히 일을 해서 회사에서 인정받았으면 좋겠어요.
t_313,너 왜 밥 안 먹어 살 빼야 돼 그럼 켜졌어 그렇게 안 보이는데 너 요즘 봐 저리가 달라 위험하네 추석 때 2kg 찐 거 금방 뺐어 했는데 그때 안 잡으면 힘들긴 해 너무 귀찮아 움직이는 것도 공간 근데 빼려면 헤어진 식단조절하고 그래 그렇게 먹고 운동도 하지 않고 당신한테까지 치러야지 어쩔 수 없지 힘내라
t_327,"내가웃긴일 말해주께 오늘잇엇던일 웅 미니가습기 필터 응 혹시 안 뗐어 아 그거 아닌가 내가 미니가습기 선물받은개 잇어서 내방 너무 건조해서 이번에 챙겨왔어 필터분이 하나 더 들어잇엇거즌 여유 필터분 그거 그대로 상자안에 넣어서 책상에 둿는데 아침에 좌탁에 잇는거야 내눈 의심하면서 엄마한테 이거 분명 어제 내방에 잇엇는데 왜 여기잇냐면서 이거 왜 버릴라고 햇녀도 그랫는데 엄마가 엄마가 범인 아니래 엄마가 그거 뭐냐고 담배아니냐면서 묻는거야   그래서 아니 이거 가습기 칠터라고 그러면 범인 한사람 아빠 아빠조용히잇더라고
"
t_335,오늘 저녁 뭐먹을까 머먹을건데 음 마늘보쌈어때 오 좋은데 술도 한잔할까 좋아 오늘 민영이도 쉰다는데 같이 먹을까 좋아 내가 연락해볼게 그럼 진수도 부르자 오늘 파틴데 너무 좋지 그래그래 내가 전화할테니까 너가 주문해줘 알았어 진수 오면서 술도 조금 사오라고해줘 당연하지 말해 뭐해
t_338,오늘 저녁 치킨먹자 치킨 별로 안 땡기는데 어떤치킨 음 굽네 교촌 푸라닥도 있고 따로 먹고싶은거 이써 딱히 생각나는건 없는데 그나마 교촌 괜찮은거같아 아 교촌은 내가 안 땡기는데 다른건 아무거나 먹어 별로 상관없으니까 그럼 나 먹고싶은걸로 시킨다 그려
t_346,아 대회 참여하는데 일정이 늦쳐졌대 그래 얼마나 늦쳐졌는데 원래 수요일부터 금요일까진데 금요일부터 일요일까지래 아 뭐야 주말에도 일하란거야 그니까 무슨 진행을 이따구로 하지 아 진짜 짜증나겠따 어떡하냐 아 몰라 주최측 진짜 개빡친다
t_353,와 이거 이번에 나온 신상이잖아 돈 모아서 질렀다 졸라 행복 와씨 개이쁘다 나 입어봐도 됨 뭐 안묻게 조심히 입어봐라 묻으면 너 뒤짐 아 당연 아 개예뻐 나 이거 선물로 주라 미친놈 아니야 이거 이거 진짜 사고싶었는데 개부럽다 하 나도 돈모아야지 그래 너 피방에 쓰는 돈만 아껴도 금방 사겠다 야 나 리얼 오늘부터 피방 안간다 웃기네 며칠이나 가나 보자
t_359,저 돈 더 많이 벌려고 다시 들어왔어요 선배는 돈이 전부야 응 돈이 전부야 돈이 그렇게 좋나 그럼 돈이 많아야 부모님 용돈도 드리고 집도 사고 차도 사지 효자네 효자야 그리고 결혼도 하고 싶어요 근데 제가 가진 돈으론 택도 없어요 내가 있어 그 돈 오빤 몸만 와 어떻게 몸만 가 아니면 숟가락 하나 들고 오던가 가자 나가서 좀 걷자
t_365,아 큰일났어 왜 뭔일 있어 아니 늦엇어 한시까진데 이제 나왔다 어떡하냐 그러게 지금 바로 택시탈라고 오늘 중요한 회의 있다며 맞아 진짜 어떡하지 빨리가야겠다 어쩔수없지  어제 셜록 영화보고 자서 그래 너무 재밌어서 늦게잤어 아이구 셜록이 잘못했네 잘하구와 응 연락할게
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,